Id,tema,Pergunta,Resposta,Fonte (se diferente dos livros)
1,Orbitais,O que é um orbital?,"Um orbital é a área onde um elétron pode estar, dependendo da energia e momento angular do elétron em questão. Dadas essas condições, podem existir diferentes tipos de orbitais, mas todos descrevem uma núvem de probabilidade de encontrar um elétron.",
2,Física Geral,O que é um elétron?,"Elétron é uma partícula fundamental da física, responsável pela maior parte dos eventos dentro do eletromagnetismo e está presente em todos os equipamentos digitais pois ele compõe a corrente elétrica. Deste modo, do celular à televisão, tudo tem base em interações de elétrons.",
3,Orbitais,"O que é l, m, n?",São os números quânticos e são usados para descrever a área onde o elétron pode estar,
4,Mecânica Quântica,O que é a equação de Schrodinger?,A equação de Schrodinger é uma função que descreve a variação do estado quântico de uma partícula no tempo,
5,Matemática,O que é um complexo conjugado?,,
6,Mecânica Quântica,O que são funções de onda?,Função de onda é a ferramenta utilizada para descrever a área onde a partícula pode estar presente.,
7,Física Geral,O que é um campo elétrico?,"Campos são agentes intermediários de interações entre duas entidades. Um campo elétrico é o intermediário da interação entre partículas com cargas, ou seja, as partículas não precisam encostar físicamente uma na outra para interagir, basta haver uma perturbação no campo.",
8,Mecânica Quântica,O que é um fóton?,,
9,Orbitais,Por que os orbitais são divididos?,,
10,Matemática,O que é ortogonalidade?,,
11,Orbitais,Como os orbitais se relacionam com a tabela periódica?,,
12,Orbitais,O que é configuração eletrônica?,,
13,Mecânica Quântica,Por que não dá para saber onde o elétron está?,"A mecânica quântica possui vários conceitos, dentro deles está o Princípio da Incerteza, que impossibilita ter conhecimento da posição exata do elétron.",
14,Mecânica Quântica,Quais são as partículas fundamentais?,"As partículas fundamentais conhecidas até o momento são: elétron, tauon, muon, quarks, fóton, bóson W e Z, bóson de Higgs e os quarks.",
15,Mecânica Quântica,O que é uma partícula fundamental?,"Uma partícula fundamental é uma entidade que compõe a matéria e constroem o Universo como nós conhecemos. Ou seja, são os componentes dos átomos, causadores de radiação, emissão de energia, etc.",
16,Mecânica Quântica,O que é mecânica quântica?,,
17,Mecânica Quântica,Por que a mecânica quântica é diferente do mundo real?,,
18,Mecânica Quântica,O que significa colapsar a função de onda?,,
19,Mecânica Quântica,O que é quantização?,"Quantização é a redução de possíveis valores que algo pode assumir para valores específicos. Agora, no lugar de assumir infinitos valores, a entidade em questão só aceita algumas quantidades.",
20,Matemática,Para que serve o complexo conjugado?,,
21,Física Geral,"Por que areia não forma interferência, mas a água forma?",,
22,Mecânica Quântica,Como a luz pode se comportar como onda e partícula ao mesmo tempo?,"A luz é formada por fótons, que são entidades quânticas e por isso agem como ondas e como partícula ao mesmo tempo. Isso acontece pois no universo quântico todas as entidades agem tanto como onda quanto como partícula, diferente do mundo clássico.",
23,Mecânica Quântica,O que é um fóton exatamente?,,
24,Física Geral,O que siginifica difração?,Difração é um fenômeno físico que acontece apenas com ondas ao atravessar ou contornar um obstáculo.,
25,Mecânica Quântica,O que a função de onda representa?,A função de onda representa a amplitude de probabilidade de encontrar um elétron em determinada posição do espaço,
26,Orbitais,Por que usamos vários números para descrever um elétron?,"A descrição completa do elétron depende de diferentes características dessa partícula, então é preciso usar diferentes números para descrevê-lo",
27,Matemática,O que acontece quando duas funções são ortogonais?,,
28,Física Geral,Como a luz chega até a Terra?,,
